,,,,,,,
Algorithm,InputType,ArraySize,IsSorted,SortType,IndexAccessCount,CompareCount,SwapCount
QuickSortMedian3Insert,SameValues,10000,TRUE,Partition,25308,27081,40593
QuickSortMedian9Insert,SameValues,10000,TRUE,Partition,21664,28173,40599
QuickDualPivotSortInsert,SameValues,10000,TRUE,Partition,37910,47784,19048
QuickSortMedian3BinaryInsert,SameValues,10000,TRUE,Partition,25518,27249,40607
QuickSortMedian9BinaryInsert,SameValues,10000,TRUE,Partition,21784,28269,40607
QuickDualPivotSortBinaryInsert,SameValues,10000,TRUE,Partition,37910,47784,19048
MergeSort,SameValues,10000,TRUE,Merge,92050,116476,129519
MergeSort2,SameValues,10000,TRUE,Merge,143615,116496,133616
ShiftSort,SameValues,10000,TRUE,Merge,202369,148651,1253
BucketSort,SameValues,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,SameValues,10000,TRUE,Distributed,80054,40000,0
RadixLSD4Sort,SameValues,10000,TRUE,Distributed,82029,0,0
CountingSort,SameValues,10000,TRUE,Distributed,37954,0,0
IntroSortMedian9,SameValues,10000,TRUE,Hybrid,21267,28369,40246
BucketSortT,DictionaryRamdom,100,TRUE,Distributed,236,100,0
BucketSortT,DictionaryRamdom,1000,TRUE,Distributed,2358,1000,0
BucketSortT,DictionaryRamdom,10000,TRUE,Distributed,23671,10000,0
