,,,,,,,
Algorithm,InputType,ArraySize,IsSorted,SortType,IndexAccessCount,CompareCount,SwapCount
OddEvenSort,MixRandom,10000,TRUE,Exchange,49615038,49615038,25024702
CocktailShakerSort,MixRandom,10000,TRUE,Exchange,33290810,33290810,25024702
CocktailShakerSort2,MixRandom,10000,TRUE,Exchange,37746225,37746225,25024702
CombSort,MixRandom,10000,TRUE,Exchange,306727,306727,58808
CycleSort,MixRandom,10000,TRUE,Exchange,149841994,149846943,9997
GnomeSort,MixRandom,10000,TRUE,Exchange,25034702,25024702,25024702
GnomeSort1,MixRandom,10000,TRUE,Exchange,50059395,50059395,25024702
GnomeSort2,MixRandom,10000,TRUE,Exchange,25024699,25034693,25024702
GnomeSort3,MixRandom,10000,TRUE,Exchange,50059404,50059404,25024702
SelectionSort,MixRandom,10000,TRUE,Selection,49995000,49995000,10000
HeapSort,MixRandom,10000,TRUE,Selection,139616,239517,129623
InsertSort,MixRandom,10000,TRUE,Insertion,25024702,25024702,25024702
BinaryInsertSort,MixRandom,10000,TRUE,Insertion,25163683,118983,25034701
ShellSort,MixRandom,10000,TRUE,Insertion,168262,75084,168262
BinaryTreeSort,MixRandom,10000,TRUE,Insertion,10000,148883,0
QuickSortMedian3,MixRandom,10000,TRUE,Partition,103129,133116,35484
QuickSortMedian9,MixRandom,10000,TRUE,Partition,71207,161131,37687
QuickDualPivotSort,MixRandom,10000,TRUE,Partition,89157,125888,69452
QuickSortMedian3Insert,MixRandom,10000,TRUE,Partition,87606,90043,23508
QuickSortMedian9Insert,MixRandom,10000,TRUE,Partition,58823,67693,24248
QuickDualPivotSortInsert,MixRandom,10000,TRUE,Partition,78890,109427,55848
QuickSortMedian3BinaryInsert,MixRandom,10000,TRUE,Partition,87621,90055,23509
QuickSortMedian9BinaryInsert,MixRandom,10000,TRUE,Partition,58973,67813,24258
QuickDualPivotSortBinaryInsert,MixRandom,10000,TRUE,Partition,78890,109427,55848
MergeSort,MixRandom,10000,TRUE,Merge,86603,120508,128104
MergeSort2,MixRandom,10000,TRUE,Merge,143615,120489,133616
ShiftSort,MixRandom,10000,TRUE,Merge,210166,155621,1791
BucketSort,MixRandom,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,MixRandom,10000,TRUE,Distributed,90093,0,0
RadixLSD4Sort,MixRandom,10000,TRUE,Distributed,82516,40000,0
CountingSort,MixRandom,10000,TRUE,Distributed,50008,0,0
IntroSortMedian9,MixRandom,10000,TRUE,Hybrid,62559,71469,24055
BubbleSort,NegativeRandom,100,TRUE,Exchange,4950,4950,2667
OddEvenSort,NegativeRandom,100,TRUE,Exchange,4752,4752,2667
CocktailShakerSort,NegativeRandom,100,TRUE,Exchange,3667,3667,2667
CocktailShakerSort2,NegativeRandom,100,TRUE,Exchange,4170,4170,2667
CombSort,NegativeRandom,100,TRUE,Exchange,1294,1294,267
CycleSort,NegativeRandom,100,TRUE,Exchange,14502,14539,98
GnomeSort,NegativeRandom,100,TRUE,Exchange,2767,2667,2667
GnomeSort1,NegativeRandom,100,TRUE,Exchange,5430,5430,2667
GnomeSort2,NegativeRandom,100,TRUE,Exchange,2667,2763,2667
GnomeSort3,NegativeRandom,100,TRUE,Exchange,5434,5434,2667
SelectionSort,NegativeRandom,100,TRUE,Selection,4950,4950,100
HeapSort,NegativeRandom,100,TRUE,Selection,702,1059,606
InsertSort,NegativeRandom,100,TRUE,Insertion,2667,2667,2667
BinaryInsertSort,NegativeRandom,100,TRUE,Insertion,3402,537,2766
ShellSort,NegativeRandom,100,TRUE,Insertion,453,282,453
BinaryTreeSort,NegativeRandom,100,TRUE,Insertion,100,649,0
QuickSortMedian3,NegativeRandom,100,TRUE,Partition,427,719,202
QuickSortMedian9,NegativeRandom,100,TRUE,Partition,321,1200,214
QuickDualPivotSort,NegativeRandom,100,TRUE,Partition,318,474,289
QuickSortMedian3Insert,NegativeRandom,100,TRUE,Partition,290,283,128
QuickSortMedian9Insert,NegativeRandom,100,TRUE,Partition,227,274,147
QuickDualPivotSortInsert,NegativeRandom,100,TRUE,Partition,238,337,166
QuickSortMedian3BinaryInsert,NegativeRandom,100,TRUE,Partition,399,353,141
QuickSortMedian9BinaryInsert,NegativeRandom,100,TRUE,Partition,336,344,160
QuickDualPivotSortBinaryInsert,NegativeRandom,100,TRUE,Partition,238,337,166
MergeSort,NegativeRandom,100,TRUE,Merge,550,530,625
MergeSort2,NegativeRandom,100,TRUE,Merge,771,536,672
ShiftSort,NegativeRandom,100,TRUE,Merge,886,653,15
BucketSort,NegativeRandom,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,NegativeRandom,100,TRUE,Distributed,798,0,0
RadixLSD4Sort,NegativeRandom,100,TRUE,Distributed,3803,400,0
CountingSort,NegativeRandom,100,TRUE,Distributed,604,0,0
IntroSortMedian9,NegativeRandom,100,TRUE,Hybrid,234,277,125
BubbleSort,NegativeRandom,1000,TRUE,Exchange,499500,499500,250372
OddEvenSort,NegativeRandom,1000,TRUE,Exchange,486513,486513,250372
CocktailShakerSort,NegativeRandom,1000,TRUE,Exchange,334929,334929,250372
CocktailShakerSort2,NegativeRandom,1000,TRUE,Exchange,380672,380672,250372
CombSort,NegativeRandom,1000,TRUE,Exchange,20705,20705,4073
CycleSort,NegativeRandom,1000,TRUE,Exchange,1485706,1486151,999
GnomeSort,NegativeRandom,1000,TRUE,Exchange,251372,250372,250372
GnomeSort1,NegativeRandom,1000,TRUE,Exchange,501740,501740,250372
GnomeSort2,NegativeRandom,1000,TRUE,Exchange,250374,251368,250372
GnomeSort3,NegativeRandom,1000,TRUE,Exchange,501744,501744,250372
SelectionSort,NegativeRandom,1000,TRUE,Selection,499500,499500,1000
HeapSort,NegativeRandom,1000,TRUE,Selection,10586,17236,9593
InsertSort,NegativeRandom,1000,TRUE,Insertion,250372,250372,250372
BinaryInsertSort,NegativeRandom,1000,TRUE,Insertion,260966,8596,251371
ShellSort,NegativeRandom,1000,TRUE,Insertion,9415,4821,9415
BinaryTreeSort,NegativeRandom,1000,TRUE,Insertion,1000,11728,0
QuickSortMedian3,NegativeRandom,1000,TRUE,Partition,6955,9941,2835
QuickSortMedian9,NegativeRandom,1000,TRUE,Partition,5079,14083,2960
QuickDualPivotSort,NegativeRandom,1000,TRUE,Partition,6465,8632,4526
QuickSortMedian3Insert,NegativeRandom,1000,TRUE,Partition,5408,5634,1636
QuickSortMedian9Insert,NegativeRandom,1000,TRUE,Partition,3932,4822,1692
QuickDualPivotSortInsert,NegativeRandom,1000,TRUE,Partition,5499,7067,3189
QuickSortMedian3BinaryInsert,NegativeRandom,1000,TRUE,Partition,5525,5721,1646
QuickSortMedian9BinaryInsert,NegativeRandom,1000,TRUE,Partition,4085,4936,1705
QuickDualPivotSortBinaryInsert,NegativeRandom,1000,TRUE,Partition,5499,7067,3189
MergeSort,NegativeRandom,1000,TRUE,Merge,6697,8697,9351
MergeSort2,NegativeRandom,1000,TRUE,Merge,10975,8702,9976
ShiftSort,NegativeRandom,1000,TRUE,Merge,14818,10866,165
BucketSort,NegativeRandom,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,NegativeRandom,1000,TRUE,Distributed,9128,0,0
RadixLSD4Sort,NegativeRandom,1000,TRUE,Distributed,10814,4000,0
CountingSort,NegativeRandom,1000,TRUE,Distributed,6004,0,0
IntroSortMedian9,NegativeRandom,1000,TRUE,Hybrid,3924,4772,1624
BubbleSort,NegativeRandom,10000,TRUE,Exchange,49995000,49995000,24902687
OddEvenSort,NegativeRandom,10000,TRUE,Exchange,49855014,49855014,24902687
